model_name,flight_score-mean,flight_score-std,name_score-mean,name_score-std,reward-mean,reward-std,status_score-mean,status_score-std
150K_w,0.6150974539564218,0.40592414980097863,1.0,0.0,0.7295487269782108,0.2974679903057012,0.74,0.4386342439892262
40K,0.5991076569063921,0.4036104462460254,1.0,0.0,0.7275538284531962,0.31666559550571516,0.76,0.4270831300812525
40K_w,0.5008982573318952,0.40790395968541626,1.0,0.0,0.6424491286659477,0.3231554144271841,0.64,0.48
5K,0.5845139042765778,0.37886668103328125,1.0,0.0,0.7442569521382889,0.27574926637176983,0.84,0.36660605559646714
30K,0.5716828719447471,0.43265691617081703,1.0,0.0,0.7018414359723735,0.33610022764194775,0.72,0.448998886412873
30K_w,0.553291695714835,0.42908931858024935,1.0,0.0,0.5906458478574176,0.27229701840614234,0.38,0.4853864439804639
100K,0.5893743323868186,0.38201537850977146,1.0,0.0,0.7406871661934094,0.28564689969152335,0.82,0.3841874542459709
75K,0.5975282394496471,0.39692265403760846,0.9342666666666668,0.1713320881926221,0.7376174530581568,0.29183309365853455,0.84,0.36660605559646714
250K,0.5474048392514512,0.39018972329382645,1.0,0.0,0.7197024196257257,0.28443956539238097,0.82,0.38418745424597095
10K,0.5578435329572196,0.3889604940912386,1.0,0.0,0.7249217664786098,0.2850089775263491,0.82,0.3841874542459709
10K_w,0.3279901614935291,0.3741732526937883,1.0,0.0,0.5079950807467646,0.2909155735790935,0.48,0.49959983987187184
200K,0.6055099539267005,0.39955158442410416,1.0,0.0,0.7487549769633504,0.29307320700806966,0.82,0.38418745424597095
75K_w,0.5500238192436595,0.40396425441236744,0.9459333333333333,0.1547475219690304,0.6201985762884964,0.25704310918804324,0.52,0.4995998398718719
250K_w,0.4954086711336053,0.43061582573410256,1.0,0.0,0.5617043355668027,0.26402179867203457,0.38,0.4853864439804639
full_w,0.6053909921965352,0.39468270625586055,1.0,0.0,0.7126954960982677,0.2762766710239043,0.7,0.45825756949558405
20K_w,0.5501562326856111,0.4229038848995587,1.0,0.0,0.6550781163428057,0.31989165648396983,0.6,0.4898979485566356
20K,0.5347766325772322,0.423112093905179,1.0,0.0,0.6773883162886162,0.33434392163482973,0.7,0.458257569495584
200K_w,0.43098482760016665,0.4044000581002724,1.0,0.0,0.5834924138000833,0.2999180704644152,0.56,0.4963869458396342
50K_w,0.6111850697142366,0.43445064136327155,1.0,0.0,0.6855925348571185,0.32577453600757056,0.6,0.4898979485566356
100K_w,0.584599866993559,0.4017901037835375,1.0,0.0,0.7202999334967797,0.3047392529657653,0.76,0.4270831300812525
150K,0.6442913687226676,0.37440820362876476,1.0,0.0,0.7801456843613337,0.2700770505290697,0.86,0.3469870314579494
50K,0.6562416764749881,0.3673259946120826,1.0,0.0,0.786120838237494,0.26857074857733193,0.86,0.34698703145794946
full,0.5544077432414808,0.42893890856400885,1.0,0.0,0.6872038716207405,0.3388124019450204,0.7,0.458257569495584
5K_w,0.616213412259674,0.3883577061248551,1.0,0.0,0.7301067061298369,0.2812224619992052,0.74,0.4386342439892262
